,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1477,SidVatsavayi,2022-08-27 13:11:31+00:00,4.0,,1.0,0.0,1.5635145465304556e+18,https://twitter.com/SidVatsavayi/status/1563514546530455552,,"['MyJANASENA_MyContribution', 'PawanKalyan', 'JanaSenaParty']","[Photo(previewUrl='https://pbs.twimg.com/media/FbK4MXNaMAEkDnC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK4MXNaMAEkDnC?format=jpg&name=large')]",myjanasena_mycontribution,505.0,"👉 #MyJANASENA_MyContribution

Donation Link - https://t.co/AAXZgkRIPj

Indians can now easily donate via PhonePe/GPay/PayTM - 7288040505

@JanaSenaParty @PawanKalyan #PawanKalyan #JanaSenaParty https://t.co/QYg85QH6kX"
1478,nobithamb,2022-08-27 13:11:14+00:00,1.0,,0.0,0.0,1.5635144753195622e+18,https://twitter.com/nobithamb/status/1563514475319562242,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,104.0,👉 #MyJANASENA_MyContribution https://t.co/Mr0qcrAno3
1479,krish_na_here,2022-08-27 13:11:11+00:00,3.0,,1.0,0.0,1.5635144651396424e+18,https://twitter.com/krish_na_here/status/1563514465139642368,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK4HTiakAAlxrb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK4HTiakAAlxrb?format=jpg&name=large')]",myjanasena_mycontribution,465.0,"Starting from today, until the end of Sep 2nd, requesting everyone to donate for JSP and post the screenshot using the hashtag: 
#MyJANASENA_MyContribution https://t.co/NPt1vyEkcF"
1480,RaaaRa93123436,2022-08-27 13:11:07+00:00,0.0,,0.0,0.0,1.5635144490254705e+18,https://twitter.com/RaaaRa93123436/status/1563514449025470464,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,11.0,#MyJANASENA_MyContribution
1481,comrademuraliPK,2022-08-27 13:11:01+00:00,1.0,,0.0,0.0,1.5635144219466179e+18,https://twitter.com/comrademuraliPK/status/1563514421946617860,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK4FJ4VEAIWJWZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK4FJ4VEAIWJWZ?format=jpg&name=large')]",myjanasena_mycontribution,146.0,#MyJANASENA_MyContribution https://t.co/DkbtniNdCW
1482,Srinu_18Virat,2022-08-27 13:10:58+00:00,0.0,,0.0,0.0,1.5635144085042913e+18,https://twitter.com/Srinu_18Virat/status/1563514408504291328,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,28.0,Waiting sep 2 #MyJANASENA_MyContribution
1483,VenkaT_PawanisT,2022-08-27 13:10:58+00:00,13.0,,10.0,0.0,1.5635144079464407e+18,https://twitter.com/VenkaT_PawanisT/status/1563514407946440704,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK4DQsaQAI6Z_L?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK4DQsaQAI6Z_L?format=jpg&name=large')]",myjanasena_mycontribution,1336.0,"Do Donate To Our @JanaSenaParty and Post screen shot with this hashtag

#MyJANASENA_MyContribution https://t.co/PM111J0qG1"
1484,MonsterPSPK,2022-08-27 13:10:54+00:00,9.0,,5.0,0.0,1.5635143929179177e+18,https://twitter.com/MonsterPSPK/status/1563514392917917698,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,4352.0,#MyJANASENA_MyContribution https://t.co/EBXtOP0scl
1485,peoplesarmy_Jsp,2022-08-27 13:10:51+00:00,1.0,,1.0,0.0,1.5635143788211732e+18,https://twitter.com/peoplesarmy_Jsp/status/1563514378821173248,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,187.0,"@gitampawanism @JanaSenaParty @PawanKalyan 👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty"
1486,Pspk_Niranjan,2022-08-27 13:10:47+00:00,14.0,,10.0,0.0,1.5635143637175173e+18,https://twitter.com/Pspk_Niranjan/status/1563514363717517312,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,118.0,"Every month iam donating, this it ll be more big 🔥🔥🥵
#MyJANASENA_MyContribution"
1487,peoplesarmy_Jsp,2022-08-27 13:10:46+00:00,1.0,,1.0,0.0,1.5635143595525612e+18,https://twitter.com/peoplesarmy_Jsp/status/1563514359552561153,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,187.0,"👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty https://t.co/rmSV8rNt6W"
