,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet
120,JspKanth,2022-08-21 07:53:17+00:00,0.0,,0.0,0.0,1.561260134797439e+18,https://twitter.com/JspKanth/status/1561260134797438979,,['JanaVaaniJanaSenaBharosa'],,JanaVaaniJanaSenaBharosa,"జనవాణి-జనసేన భరోసా కార్యక్రమం
ఐదు జిల్లాల ప్రజల నుంచి సమస్యలపై అర్జీలు స్వీకరిస్తున్న శ్రీ @PawanKalyan గారు
Live Link: https://t.co/SXRLkvlgfp

#JanaVaaniJanaSenaBharosa"
121,venupro,2022-08-21 07:53:13+00:00,263.0,,98.0,0.0,1.5612601185570693e+18,https://twitter.com/venupro/status/1561260118557069313,,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561260064295759872/pu/img/ZC5Jn9UXgEVHJogw.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561260064295759872/pu/vid/490x270/GsgtBW1TN9YV-xL_.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561260064295759872/pu/pl/9-6sFZ4fUppwq6Iq.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561260064295759872/pu/vid/640x352/hZWGxnH0oxK-v8mS.mp4?tag=12', bitrate=832000)], duration=30.54, views=864)]",JanaVaaniJanaSenaBharosa,"తిరుపతిలో జరుగుతున్న 4వ విడత జనవాణి ద్వారా తమ సమస్యలను, ఇబ్బందులను జనసేనాని దృష్టికి తీసుకెళ్లేందుకు వచ్చిన ప్రజలు.

#JanaVaaniJanaSenaBharosa https://t.co/ufweItcd3C"
122,Mani_Naidu_PK,2022-08-21 07:51:51+00:00,7.0,,1.0,0.0,1.561259773156176e+18,https://twitter.com/Mani_Naidu_PK/status/1561259773156175876,,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561259680365629440/pu/img/ip_rCneLU6JmEJ47.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561259680365629440/pu/vid/720x360/fxciG2rmv9Ac7RL9.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561259680365629440/pu/pl/rnZjgNVghQaunFIu.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561259680365629440/pu/vid/540x270/zaRdFBdNY35ODQcq.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561259680365629440/pu/vid/1280x640/HmIRXU1OamQ_AJYB.mp4?tag=12', bitrate=2176000)], duration=6.985, views=21)]",JanaVaaniJanaSenaBharosa,"వ్యక్తిత్వంలో సరిరారు మీకెవ్వరు అన్నయ్య!

@PawanKalyan❤️🙏

#JanaVaaniJanaSenaBharosa https://t.co/2OdSyLVhhz"
123,JanaSenaParty,2022-08-21 07:48:20+00:00,596.0,,348.0,1.0,1.5612588870171812e+18,https://twitter.com/JanaSenaParty/status/1561258887017181186,,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/Faq0q-taQAAZf1h?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0q-taQAAZf1h?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0rO4aQAAVbdG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0rO4aQAAVbdG?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0rd0aUAAdTMt?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0rd0aUAAdTMt?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0ruzaQAA4k4X?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0ruzaQAA4k4X?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"తిరుపతిలో ప్రారంభమైన జనవాణి-జనసేన భరోసా కార్యక్రమం
ఐదు జిల్లాల ప్రజల నుంచి సమస్యలపై అర్జీలు స్వీకరిస్తున్న శ్రీ @PawanKalyan గారు
Live Link: https://t.co/545Ev05OI6

#JanaVaaniJanaSenaBharosa https://t.co/V1bIreWcgW"
124,BhanuChandu08,2022-08-21 07:48:01+00:00,66.0,,32.0,0.0,1.561258810483716e+18,https://twitter.com/BhanuChandu08/status/1561258810483716096,,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561258784315478016/pu/img/rhXpGIW0yeB7671T.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561258784315478016/pu/vid/398x270/_lprADo0Rcwjkwf2.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561258784315478016/pu/pl/_ByD26u-iYWFzjEA.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561258784315478016/pu/vid/532x360/1L2AVWYQED9PmxXw.mp4?tag=12', bitrate=832000)], duration=17.49, views=242)]",JanaVaaniJanaSenaBharosa,"Pàwâñ Kâlyãn Garu ❤️ LEADER 🙏
@PawanKalyan @JanaSenaParty
#JanaVaaniJanaSenaBharosa https://t.co/8ZXLB9qoJu"
125,ChayJSP,2022-08-21 07:47:52+00:00,19.0,,5.0,0.0,1.5612587725882163e+18,https://twitter.com/ChayJSP/status/1561258772588216320,,['JanaVaaniJanasenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/Faq0f6SVEAAj192?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0f6SVEAAj192?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"మీరు దైర్యంగా ఉండండి అమ్మ మా టీం నీ పంపిస్తాను అపుడు కూడా పిల్లలు రాకుంటే నేనే తాడేపల్లిగూడెం వస్తా - @JanaSenaParty అధ్యక్షులు @PawanKalyan గారు 
#JanaVaaniJanasenaBharosa https://t.co/2MM8zum3gO"
126,sathishchanda4,2022-08-21 07:47:35+00:00,6.0,,1.0,0.0,1.561258698491605e+18,https://twitter.com/sathishchanda4/status/1561258698491604992,,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/Faq0fM-UUAAGOAO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0fM-UUAAGOAO?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0fmxVsAAsiqH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0fmxVsAAsiqH?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0gFPUUAAS10p?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0gFPUUAAS10p?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faq0gtlUsAAoZid?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faq0gtlUsAAoZid?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,#JanaVaaniJanaSenaBharosa https://t.co/lYSeoVb301
127,abdul_nazeeb8,2022-08-21 07:47:10+00:00,1.0,,1.0,0.0,1.5612585961799066e+18,https://twitter.com/abdul_nazeeb8/status/1561258596179906560,,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561257365550559232/pu/img/j9XApYWdsNMGqqqX.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561257365550559232/pu/vid/480x270/8lj4YESH3mM2EqEk.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561257365550559232/pu/pl/49e3-5rCRhIA491K.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561257365550559232/pu/vid/640x360/4GxOniZxzvIO4BwS.mp4?tag=12', bitrate=832000)], duration=30.591, views=14)]",JanaVaaniJanaSenaBharosa,"తిరుపతిలో జరుగుతున్న 4వ విడత జనవాణి ద్వారా తమ సమస్యలను, ఇబ్బందులను జనసేనాని దృష్టికి తీసుకెళ్లేందుకు వచ్చిన ప్రజలు.

#JanaVaaniJanaSenaBharosa 
@mnadendla @PawanKalyan
@JanaSenaParty @JSP4Andhra https://t.co/JZogofeBh9"
128,HyderabadPKFC,2022-08-21 07:46:17+00:00,36.0,,18.0,0.0,1.5612583743767224e+18,https://twitter.com/HyderabadPKFC/status/1561258374376722432,,['JanaVaaniJanasenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561253569554448385/pu/img/0x2ewDuVttC0LD0d.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561253569554448385/pu/vid/640x360/Ybw4C-rQDLUy2iDT.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561253569554448385/pu/vid/480x270/KTSAxBzBCaeS6FKX.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561253569554448385/pu/vid/1280x720/O9XGxDhiBlFFjhyY.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561253569554448385/pu/pl/VFbEb3N2LTljcSfJ.m3u8?tag=12&container=fmp4', bitrate=None)], duration=25.934, views=2189)]",JanaVaaniJanaSenaBharosa,"His love and respect towards 
handicapped persons.. 
@PawanKalyan ❤️🙏 

#JanaVaaniJanasenaBharosa  https://t.co/4PfqLfPg3d"
129,PrasannaNalle,2022-08-21 07:46:13+00:00,388.0,,210.0,0.0,1.561258355867648e+18,https://twitter.com/PrasannaNalle/status/1561258355867648000,,"['JanaSenaParty', 'PawanKalyan', 'JanaVaaniJanaSenaBharosa']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561258250846502914/pu/img/k7rMo9-xl4CZ_FXW.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561258250846502914/pu/pl/oaJsrnur9d2LDXG4.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561258250846502914/pu/vid/524x360/kAa_XTpokFbWdADv.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561258250846502914/pu/vid/392x270/q5EzRX_a7j6GSAlK.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561258250846502914/pu/vid/1050x720/oc9WpaSRkdY3F2m3.mp4?tag=12', bitrate=2176000)], duration=25.245, views=1042)]",JanaVaaniJanaSenaBharosa,"మా వాళ్ళని కనుక  విడుదల చేయకపోతే నేను మీ తాడేపల్లి వచ్చి మీ ఇంటి ముందు కూర్చుంటా - శ్రీ పవన్ కళ్యాణ్ గారు 🔥🔥🔥
#JanaSenaParty #PawanKalyan  #JanaVaaniJanaSenaBharosa https://t.co/mEARxuC6Pl"
